name,sex,event,equipment,age,age_class,division,bodyweight_kg,weight_class_kg,best3squat_kg,best3bench_kg,best3deadlift_kg,place,date,federation,meet_name,year
Shinichi Iitsuka,M,B,Single-ply,61.5,60-64,Masters 3,58.25,59,NA,115,NA,1,2018-04-23,IPF,World Bench Press Championships,2018
Masato Hashimoto,M,B,Single-ply,60.5,60-64,Masters 3,58.15,59,NA,112.5,NA,2,2018-04-23,IPF,World Bench Press Championships,2018
Claude Sitruk,M,B,Single-ply,67.5,65-69,Masters 3,65.7,66,NA,157.5,NA,1,2018-04-23,IPF,World Bench Press Championships,2018
Keiji Sato,M,B,Single-ply,65.5,65-69,Masters 3,65.2,66,NA,152.5,NA,2,2018-04-23,IPF,World Bench Press Championships,2018
Takanobu Sekine,M,B,Single-ply,62.5,60-64,Masters 3,65.3,66,NA,122.5,NA,3,2018-04-23,IPF,World Bench Press Championships,2018
Andreas Petrenz,M,B,Single-ply,61,60-64,Masters 3,82.65,83,NA,200,NA,1,2018-04-23,IPF,World Bench Press Championships,2018
Osamu Iijima,M,B,Single-ply,63.5,60-64,Masters 3,82.2,83,NA,190,NA,2,2018-04-23,IPF,World Bench Press Championships,2018
Erick Deconninck,M,B,Single-ply,61.5,60-64,Masters 3,82.05,83,NA,180,NA,3,2018-04-23,IPF,World Bench Press Championships,2018
Arne Boe Kjell,M,B,Single-ply,65.5,65-69,Masters 3,82.6,83,NA,170,NA,4,2018-04-23,IPF,World Bench Press Championships,2018
Arthur Hirner,M,B,Single-ply,60.5,60-64,Masters 3,82.85,83,NA,NA,NA,DQ,2018-04-23,IPF,World Bench Press Championships,2018
Hans-Jürgen Ehrt,M,B,Single-ply,61,60-64,Masters 3,90.85,93,NA,220,NA,1,2018-04-23,IPF,World Bench Press Championships,2018
Takeshi Kitagawa,M,B,Single-ply,60,60-64,Masters 3,88,93,NA,210,NA,2,2018-04-23,IPF,World Bench Press Championships,2018
Tomohiro Anraku,M,B,Single-ply,61.5,60-64,Masters 3,87.15,93,NA,NA,NA,DQ,2018-04-23,IPF,World Bench Press Championships,2018
Valeriy Zverev,M,B,Single-ply,59.5,55-59,Masters 3,103.5,105,NA,182.5,NA,1,2018-04-23,IPF,World Bench Press Championships,2018
Colin Young,M,B,Single-ply,60.5,60-64,Masters 3,103.45,105,NA,170,NA,2,2018-04-23,IPF,World Bench Press Championships,2018
Hans Thyssing,M,B,Single-ply,64.5,60-64,Masters 3,99.75,105,NA,160,NA,3,2018-04-23,IPF,World Bench Press Championships,2018
Sergy Shadyun,M,B,Single-ply,60.5,60-64,Masters 3,117.9,120,NA,190,NA,1,2018-04-23,IPF,World Bench Press Championships,2018
Allan Fuglsang,M,B,Single-ply,67.5,65-69,Masters 3,109.3,120,NA,180,NA,2,2018-04-23,IPF,World Bench Press Championships,2018
Motohisa Kojo,M,B,Single-ply,59.5,55-59,Masters 3,130,120+,NA,245.5,NA,1,2018-04-23,IPF,World Bench Press Championships,2018
Yuko Nagao,F,B,Single-ply,67.5,65-69,Masters 3,55.9,57,NA,87.5,NA,1,2018-04-23,IPF,World Bench Press Championships,2018
Evelyne Herbin,F,B,Single-ply,61,60-64,Masters 3,67,72,NA,90,NA,1,2018-04-23,IPF,World Bench Press Championships,2018
Chiyomi Sawa,F,B,Single-ply,68.5,65-69,Masters 3,77.3,84,NA,127.5,NA,1,2018-04-23,IPF,World Bench Press Championships,2018
Hiraku Fushimi,M,B,Single-ply,63.5,60-64,Masters 3,55.4,56,NA,120,NA,1,2001-04-13,IPF,World Masters Bench Press Championships,2001
Alexander Diepold,M,B,Single-ply,63.5,60-64,Masters 3,59.2,60,NA,100,NA,1,2001-04-13,IPF,World Masters Bench Press Championships,2001
Junichro Akai,M,B,Single-ply,67.5,65-69,Masters 3,59.1,60,NA,97.5,NA,2,2001-04-13,IPF,World Masters Bench Press Championships,2001
Jose Russo,M,B,Single-ply,60.5,60-64,Masters 3,62.5,67.5,NA,125,NA,1,2001-04-13,IPF,World Masters Bench Press Championships,2001
Gilbert Thomas,M,B,Single-ply,63.5,60-64,Masters 3,66.7,67.5,NA,125,NA,2,2001-04-13,IPF,World Masters Bench Press Championships,2001
Ivan Zwick,M,B,Single-ply,61.5,60-64,Masters 3,66.3,67.5,NA,115,NA,3,2001-04-13,IPF,World Masters Bench Press Championships,2001
Olli Vento,M,B,Single-ply,67.5,65-69,Masters 3,66.8,67.5,NA,97.5,NA,4,2001-04-13,IPF,World Masters Bench Press Championships,2001
Alfredo Urrutia,M,B,Single-ply,69.5,65-69,Masters 3,65.6,67.5,NA,72.5,NA,5,2001-04-13,IPF,World Masters Bench Press Championships,2001
